age,income,educ,yrseduc,sector,marital,occup,ctry,origin,employed,fulltime,numemp,weight,ratio,rate,union,id,othersat,othcust,othsize,othunion,gendnum,gendchar,sat,custtype,size,year,hourly,numkids
81,18353,12,12,,1,,1,8,0,,,54527,0.54527,1.5e-7,,42,4,"Wholesale","Large",,1,"Male",3,"Retail","Large",1996,9.1765,1
76,9291,12,12,,1,,1,8,0,,,54470,0.5447,0,,43,2,"Retail","Large",,2,"Female",4,"Retail","Large",1996,4.6455,2
81,4326,12,12,,1,,1,8,0,,,104881,1.04881,0,,44,4,"Retail","Large",,1,"Male",5,"Retail","Large",1996,2.163,1
78,9495,12,12,,1,,1,8,0,,,110342,1.10342,0,,45,4,"Wholesale","Large",,2,"Female",2,"Retail","Large",1996,4.7475,3
49,37000,17,18,1,5,1,1,8,1,2,300,106797,1.06797,1.5e-7,,46,4,"Retail","Small",,2,"Female",1,"Wholesale","Small",1990,18.5,3
26,11424,12,12,1,6,8,1,8,1,2,10,131835,1.31835,1.5e-7,,48,5,"Wholesale","Small",,2,"Female",1,"Wholesale","Small",1996,5.712,3
82,19001,12,12,,7,,1,8,0,,,108067,1.08067,1.5e-7,,50,7,"Wholesale","Large",,1,"Male",5,"Retail","Large",1996,9.5005,0
46,31870,16,16,1,1,4,1,8,1,2,1000,112101,1.12101,1.5e-7,,51,6,"Wholesale","Small",,1,"Male",5,"Retail","Small",1988,15.935,1
44,320,13,13,,1,,1,8,0,,,121720,1.2172,0,,52,2,"Retail","Small",,2,"Female",4,"Retail","Small",1985,0.16,3
39,18016,14,14,1,1,3,1,8,1,2,1000,60393,0.60393,2.8e-7,1,54,3,"Wholesale","Small",0,2,"Female",1,"Wholesale","Small",1986,9.008,1
39,67616,12,12,1,1,1,1,8,1,2,10,66827,0.66827,0,1,55,3,"Retail","Small",0,1,"Male",5,"Retail","Small",1996,33.808,1
90,7466,13,13,,1,,1,8,0,,,99335,0.99335,0,,56,6,"Wholesale","Large",,1,"Male",3,"Wholesale","Large",1985,3.733,0
84,0,13,13,,1,,1,8,0,,,105417,1.05417,0,,57,4,"Wholesale","Large",,2,"Female",1,"Retail","Large",1985,0,0
33,35450,16,16,2,1,1,1,8,1,2,1000,117492,1.17492,2.8e-7,,58,7,"Retail","Small",,1,"Male",7,"Retail","Small",1988,17.725,0
31,45500,16,16,1,1,1,1,8,1,2,300,108484,1.08484,0,,59,5,"Wholesale","Small",,2,"Female",4,"Retail","Small",1988,22.75,3
49,35900,10,11,6,1,13,1,8,1,2,10,127306,1.27306,2.8e-7,,61,5,"Wholesale","Small",,1,"Male",3,"Wholesale","Small",1995,17.95,1
46,26628,15,14,6,1,9,1,8,1,2,10,105263,1.05263,0,,62,1,"Wholesale","Small",,2,"Female",3,"Retail","Small",1986,13.314,2
29,35100,13,13,1,1,3,1,8,1,2,16,114134,1.14134,2.8e-7,,63,6,"Wholesale","Small",,1,"Male",6,"Wholesale","Small",1985,17.55,1
34,30105,15,14,1,1,5,1,8,1,2,1000,108484,1.08484,0,,64,1,"Retail","Small",,2,"Female",4,"Wholesale","Small",1986,15.0525,1
28,24963,15,14,1,7,3,1,8,1,4,10,114134,1.14134,1.5e-7,,67,5,"Retail","Small",,1,"Male",6,"Wholesale","Small",1986,12.4815,0
28,28426,14,14,1,7,5,1,8,1,4,1000,115263,1.15263,1.5e-7,,68,4,"Retail","Small",,2,"Female",3,"Retail","Small",1986,14.213,3
48,50105,17,18,1,1,4,1,8,1,2,1000,127306,1.27306,2.8e-7,,69,5,"Retail","Small",,1,"Male",6,"Wholesale","Small",1990,25.0525,2
49,43676,17,18,4,1,2,1,8,1,2,1000,105263,1.05263,0,,70,2,"Wholesale","Small",,2,"Female",4,"Retail","Small",1990,21.838,0
41,40300,15,14,6,1,9,1,8,1,2,10,111394,1.11394,2.8e-7,,71,7,"Retail","Small",,1,"Male",4,"Wholesale","Small",1986,20.15,2
36,22300,13,13,1,1,2,1,8,1,2,300,110423,1.10423,0,,72,1,"Wholesale","Small",,2,"Female",5,"Retail","Small",1985,11.15,2
51,120759,12,12,,1,,1,8,0,,1000,110465,1.10465,3.1e-7,,74,7,"Wholesale","Large",,1,"Male",5,"Wholesale","Large",1996,60.3795,0
46,39509,13,13,1,1,1,1,8,1,2,16,105263,1.05263,0,,75,2,"Retail","Small",,2,"Female",2,"Wholesale","Small",1985,19.7545,3
40,1415,13,13,1,1,8,1,8,1,,16,118132,1.18132,0,,76,3,"Retail","Small",,2,"Female",2,"Wholesale","Small",1985,0.7075,3
32,15794,13,13,2,1,5,1,8,1,2,1000,126280,1.2628,0,,77,3,"Wholesale","Small",,1,"Male",3,"Retail","Small",1985,7.897,1
46,27999,12,12,1,1,11,1,8,1,2,300,108796,1.08796,1.5e-7,,81,,,"Small",,1,"Male",7,"Wholesale","Small",1996,13.9995,2
40,20845,12,12,1,1,5,1,8,1,2,42,118132,1.18132,0,,82,3,"Wholesale","Small",,2,"Female",4,"Retail","Small",1996,10.4225,2
29,43700,16,16,1,7,5,1,8,1,2,1000,90752,0.90752,2.8e-7,,84,6,"Retail","Small",,1,"Male",5,"Wholesale","Small",1988,21.85,2
27,36270,16,16,1,7,1,1,8,1,2,1000,90752,0.90752,2.8e-7,,85,7,"Wholesale","Small",,1,"Male",3,"Retail","Small",1988,18.135,0
27,24000,12,12,1,1,1,1,7,1,2,1000,0,0,1.5e-7,,86,3,"Wholesale","Small",,1,"Male",3,"Retail","Small",1996,12,1
29,7300,16,16,1,1,2,1,8,1,2,300,0,0,0,,87,3,"Retail","Small",,2,"Female",1,"Retail","Small",1988,3.65,3
59,100295,12,12,6,1,4,1,8,1,5,10,107336,1.07336,3.1e-7,,89,5,"Wholesale","Large",,1,"Male",7,"Retail","Large",1996,50.1475,2
61,7584,12,12,,1,,1,8,0,,,109274,1.09274,0,,90,2,"Wholesale","Large",,2,"Female",4,"Wholesale","Large",1996,3.792,2
82,3117,12,12,,4,,1,8,0,,,101667,1.01667,0,,91,1,"Retail","Large",,2,"Female",5,"Retail","Large",1996,1.5585,1
77,4200,7,8,,1,,1,8,0,,,84317,0.84317,0,,92,3,"Retail","Large",,1,"Male",6,"Wholesale","Large",1992,2.1,1
71,4021,5,4,,1,,1,8,0,,,86575,0.86575,0,,93,4,"Wholesale","Large",,2,"Female",2,"Retail","Large",1988,2.0105,2
42,8465,12,12,,7,,1,8,0,,,85786,0.85786,0,,94,6,"Retail","Small",,1,"Male",4,"Wholesale","Small",1996,4.2325,3
72,15873,13,13,,1,,1,8,0,,,87117,0.87117,0,,95,7,"Wholesale","Large",,1,"Male",7,"Wholesale","Large",1985,7.9365,2
72,4449,11,11.5,,1,,1,8,0,,,86575,0.86575,0,,96,2,"Wholesale","Large",,2,"Female",5,"Retail","Large",1996,2.2245,0
41,30024,16,16,1,1,3,1,8,1,5,1000,86126,0.86126,2.8e-7,,97,3,"Retail","Small",,2,"Female",1,"Wholesale","Small",1988,15.012,1
45,35041,15,14,1,1,2,1,8,1,2,1000,89034,0.89034,0,,98,6,"Retail","Small",,1,"Male",7,"Wholesale","Small",1986,17.5205,2
52,8001,12,12,1,1,4,,8,1,,,61056,0.61056,0,,101,,,"Large",,1,"Male",4,"Wholesale","Large",1996,4.0005,2
42,1,8,9,,1,,,8,0,,,55463,0.55463,0,,102,,,"Small",,2,"Female",1,"Wholesale","Small",1993,0.0005,3
40,13600,17,18,1,1,2,1,8,1,2,1000,92675,0.92675,3.1e-7,,105,1,"Wholesale","Small",,2,"Female",5,"Retail","Small",1990,6.8,3
40,101999,17,18,1,1,1,1,8,1,2,42,101700,1.017,0,,106,6,"Wholesale","Small",,1,"Male",7,"Wholesale","Small",1990,50.9995,3
30,51100,18,20,1,1,2,1,8,1,2,42,98789,0.98789,2.8e-7,,111,2,"Retail","Small",,2,"Female",5,"Retail","Small",1992,25.55,1
30,24900,16,16,4,1,2,1,8,1,2,1000,105321,1.05321,0,,112,3,"Wholesale","Small",,1,"Male",5,"Retail","Small",1988,12.45,2
63,72581,17,18,6,1,1,1,8,1,2,10,98029,0.98029,2.8e-7,,113,5,"Retail","Large",,1,"Male",6,"Retail","Large",1990,36.2905,0
56,14421,13,13,1,1,8,1,8,1,2,300,99053,0.99053,0,,114,5,"Retail","Large",,2,"Female",5,"Wholesale","Large",1985,7.2105,2
68,73361,13,13,,1,,1,8,0,,,89024,0.89024,1.5e-7,,115,4,"Retail","Large",,1,"Male",7,"Wholesale","Large",1985,36.6805,2
63,10963,12,12,1,1,4,1,8,1,2,1000,118666,1.18666,0,,116,4,"Retail","Large",,2,"Female",1,"Wholesale","Large",1996,5.4815,3
70,16206,14,14,1,5,8,1,8,1,2,42,86088,0.86088,0,,117,1,"Wholesale","Large",,2,"Female",5,"Retail","Large",1986,8.103,1
47,31000,12,12,1,5,11,1,8,1,2,16,99370,0.9937,1.5e-7,,118,,,"Small",,1,"Male",6,"Retail","Small",1996,15.5,0
48,81361,17,18,1,1,1,1,8,1,2,1000,99370,0.9937,2.8e-7,,119,3,"Retail","Small",,1,"Male",4,"Wholesale","Small",1990,40.6805,1
48,26211,16,16,1,1,2,1,8,1,2,300,92343,0.92343,0,,120,5,"Retail","Small",,2,"Female",1,"Wholesale","Small",1988,13.1055,1
76,14144,12,12,,1,,1,8,0,,,103226,1.03226,0,,123,6,"Wholesale","Large",,1,"Male",5,"Retail","Large",1996,7.072,0
74,6251,12,12,,1,,1,8,0,,,86088,0.86088,0,,124,2,"Wholesale","Large",,2,"Female",1,"Retail","Large",1996,3.1255,1
35,28500,12,12,1,1,10,1,8,1,2,750,110912,1.10912,1.5e-7,,125,4,"Wholesale","Small",,1,"Male",6,"Wholesale","Small",1996,14.25,0
34,15000,12,12,1,1,4,1,8,1,2,1000,101790,1.0179,0,,126,5,"Wholesale","Small",,2,"Female",4,"Wholesale","Small",1996,7.5,0
63,5024,12,12,,1,,1,8,0,,,115392,1.15392,1.5e-7,,129,1,"Retail","Large",,2,"Female",2,"Retail","Large",1996,2.512,0
63,22361,12,12,1,1,8,1,8,0,,,94455,0.94455,0,,130,3,"Retail","Large",,1,"Male",4,"Retail","Large",1996,11.1805,2
35,38470,16,16,1,1,2,1,8,1,2,300,111237,1.11237,2.8e-7,1,131,5,"Retail","Small",0,1,"Male",5,"Wholesale","Small",1988,19.235,1
31,31678,16,16,1,1,2,1,8,1,2,300,115491,1.15491,0,1,132,2,"Retail","Small",0,2,"Female",4,"Retail","Small",1988,15.839,1
64,16958,13,13,1,4,5,1,8,1,2,300,115392,1.15392,1.5e-7,1,134,4,"Retail","Large",,2,"Female",4,"Wholesale","Large",1985,8.479,1
43,49400,13,13,1,5,4,1,8,1,2,16,119972,1.19972,2.8e-7,1,135,6,"Retail","Small",0,1,"Male",4,"Wholesale","Small",1985,24.7,2
86,17081,10,11,,4,,1,8,0,,,98181,0.98181,0,,137,3,"Retail","Large",,1,"Male",4,"Retail","Large",1995,8.5405,2
29,30650,16,16,6,1,2,1,8,0,,1000,109107,1.09107,2.8e-7,,138,1,"Retail","Small",,2,"Female",2,"Retail","Small",1988,15.325,0
30,57628,13,13,4,1,9,1,8,1,2,300,126768,1.26768,0,2,139,4,"Wholesale","Small",,1,"Male",3,"Retail","Small",1985,28.814,1
76,13654,12,12,,1,,1,8,0,,,92115,0.92115,0,,140,7,"Wholesale","Large",,1,"Male",3,"Wholesale","Large",1996,6.827,1
81,5206,7,8,,1,,1,8,0,,,84305,0.84305,0,,141,1,"Retail","Large",,2,"Female",1,"Retail","Large",1992,2.603,1
72,9858,14,14,,1,,1,8,0,,,82382,0.82382,0,,142,5,"Retail","Large",,2,"Female",3,"Retail","Large",1986,4.929,2
72,9443,12,12,,1,,1,8,0,,,94599,0.94599,0,,143,7,"Retail","Large",,1,"Male",5,"Retail","Large",1996,4.7215,1
31,26004,16,16,1,1,2,1,8,1,2,300,88353,0.88353,1.5e-7,,144,6,"Wholesale","Small",,1,"Male",3,"Wholesale","Small",1988,13.002,2
28,8004,16,16,1,1,2,1,8,1,2,300,96804,0.96804,0,,145,4,"Retail","Small",,2,"Female",3,"Wholesale","Small",1988,4.002,0
42,8003,10,11,1,5,10,1,8,1,,42,87886,0.87886,0,,147,5,"Wholesale","Small",,2,"Female",1,"Wholesale","Small",1995,4.0015,2
29,16555,12,12,1,1,1,1,8,1,2,16,96804,0.96804,1.5e-7,,149,4,"Wholesale","Small",,2,"Female",4,"Wholesale","Small",1996,8.2775,2
31,35055,13,13,1,1,10,1,8,1,2,10,88353,0.88353,0,,150,4,"Wholesale","Small",,1,"Male",5,"Wholesale","Small",1985,17.5275,2
73,25990,13,13,,4,,1,8,0,,,79954,0.79954,1.5e-7,,153,4,"Retail","Large",,2,"Female",1,"Retail","Large",1985,12.995,1
32,3600,12,12,,7,,1,8,0,,,84877,0.84877,0,,154,2,"Wholesale","Small",,2,"Female",1,"Wholesale","Small",1996,1.8,2
49,20013,13,13,6,5,1,1,8,1,2,10,96881,0.96881,1.5e-7,,155,5,"Retail","Small",,2,"Female",1,"Wholesale","Small",1985,10.0065,2
32,30000,13,13,1,6,1,1,8,1,2,1000,88154,0.88154,1.5e-7,,157,3,"Retail","Small",,1,"Male",6,"Wholesale","Small",1985,15,2
34,8044,12,12,1,5,4,1,8,1,2,42,88154,0.88154,1.5e-7,,158,7,"Retail","Small",,1,"Male",7,"Retail","Small",1996,4.022,1
30,13430,13,13,1,7,4,1,8,1,2,42,88154,0.88154,1.5e-7,,159,4,"Wholesale","Small",,1,"Male",5,"Retail","Small",1985,6.715,2
63,10880,5,4,,6,,1,8,0,,,91032,0.91032,0,,160,3,"Wholesale","Large",,1,"Male",4,"Wholesale","Large",1988,5.44,2
25,27000,13,13,1,7,5,1,8,1,2,300,101402,1.01402,1.5e-7,,161,7,"Wholesale","Small",,1,"Male",5,"Retail","Small",1985,13.5,0
27,10000,16,16,1,7,1,1,8,1,2,10,103958,1.03958,1.5e-7,,162,6,"Wholesale","Small",,1,"Male",4,"Wholesale","Small",1988,5,1
36,21565,15,14,1,7,8,1,8,1,2,16,92263,0.92263,1.5e-7,,163,5,"Retail","Small",,1,"Male",6,"Wholesale","Small",1986,10.7825,2
56,38433,12,12,1,1,9,1,8,1,4,1000,80533,0.80533,2.8e-7,,164,3,"Wholesale","Large",,1,"Male",7,"Wholesale","Large",1996,19.2165,2
50,56589,17,18,6,1,2,1,8,1,2,10,69391,0.69391,0,,165,4,"Retail","Large",,2,"Female",5,"Wholesale","Large",1990,28.2945,1
45,30150,18,20,1,5,2,1,8,1,2,1000,85967,0.85967,2.8e-7,,166,3,"Retail","Small",,2,"Female",5,"Retail","Small",1992,15.075,2
82,28871,18,20,,1,,1,8,0,,,84317,0.84317,1.5e-7,,167,7,"Wholesale","Large",,1,"Male",6,"Retail","Large",1992,14.4355,0
78,25034,17,18,,1,,1,8,0,,,83272,0.83272,0,,168,5,"Retail","Large",,2,"Female",5,"Wholesale","Large",1990,12.517,0
46,18050,12,12,6,1,9,1,8,1,3,10,91738,0.91738,1.5e-7,,169,6,"Wholesale","Small",,1,"Male",6,"Retail","Small",1996,9.025,3
37,15950,13,13,3,1,1,1,8,1,2,1000,91161,0.91161,0,,170,3,"Retail","Small",,2,"Female",2,"Retail","Small",1985,7.975,2
38,16911,16,16,1,7,13,1,8,1,2,16,91631,0.91631,1.5e-7,,174,6,"Retail","Small",,1,"Male",7,"Retail","Small",1988,8.4555,3
70,23493,12,12,,1,,1,8,0,,,89763,0.89763,0,,175,6,"Wholesale","Large",,1,"Male",7,"Wholesale","Large",1996,11.7465,1
63,3392,5,4,,1,,1,8,0,,,78331,0.78331,0,,176,5,"Wholesale","Large",,2,"Female",4,"Retail","Large",1988,1.696,1
30,19000,12,12,1,1,5,1,8,1,2,16,91338,0.91338,1.5e-7,,177,5,"Retail","Small",,1,"Male",3,"Wholesale","Small",1996,9.5,2
33,16000,12,12,1,1,4,3,8,1,2,1000,57147,0.57147,0,,178,,,"Small",,2,"Female",3,"Retail","Small",1996,8,1
28,49000,12,12,1,7,4,1,8,1,2,10,110770,1.1077,2.8e-7,,179,4,"Retail","Small",,1,"Male",3,"Retail","Small",1996,24.5,3
60,900,7,8,4,1,12,1,8,1,2,300,89622,0.89622,1.5e-7,,182,,,"Large",,1,"Male",4,"Wholesale","Large",1992,0.45,0
61,24800,12,12,1,1,5,1,8,1,2,1000,92342,0.92342,0,,183,1,"Wholesale","Large",,2,"Female",3,"Retail","Large",1996,12.4,2
28,13720,12,12,1,7,8,1,8,1,2,42,110770,1.1077,1.5e-7,,184,7,"Retail","Small",,1,"Male",6,"Retail","Small",1996,6.86,3
45,23500,15,14,1,7,5,1,8,1,2,42,123554,1.23554,1.5e-7,,185,6,"Wholesale","Small",,1,"Male",4,"Wholesale","Small",1986,11.75,2
41,29937,13,13,1,1,12,1,8,1,2,1000,108110,1.0811,1.5e-7,,186,,,"Small",,1,"Male",7,"Wholesale","Small",1985,14.9685,0
39,22537,16,16,4,1,2,1,8,1,2,300,107168,1.07168,0,,187,4,"Retail","Small",,2,"Female",3,"Retail","Small",1988,11.2685,3
47,21200,13,13,1,6,3,1,8,1,2,42,102161,1.02161,1.5e-7,,191,2,"Wholesale","Small",,2,"Female",1,"Retail","Small",1985,10.6,0
38,26020,12,12,1,1,5,1,8,1,2,42,114615,1.14615,2.8e-7,1,193,3,"Wholesale","Small",,1,"Male",7,"Retail","Small",1996,13.01,3
36,35965,14,14,2,1,1,1,8,1,2,1000,114135,1.14135,0,1,194,1,"Wholesale","Small",0,2,"Female",2,"Retail","Small",1986,17.9825,1
46,21000,12,12,5,1,1,1,8,1,2,10,105995,1.05995,2.8e-7,,196,4,"Wholesale","Small",,1,"Male",4,"Wholesale","Small",1996,10.5,3
45,86000,13,13,1,1,1,1,8,1,2,1000,109650,1.0965,0,1,197,5,"Wholesale","Small",0,2,"Female",3,"Wholesale","Small",1985,43,2
51,11158,12,12,,1,,1,8,0,,,108746,1.08746,0,,199,3,"Retail","Large",,1,"Male",7,"Wholesale","Large",1996,5.579,2
54,2523,12,12,,1,,1,8,0,,,106381,1.06381,0,,200,3,"Retail","Large",,2,"Female",5,"Retail","Large",1996,1.2615,1
45,49098,16,16,1,1,2,1,8,1,4,1000,99370,0.9937,2.8e-7,,201,3,"Wholesale","Small",,1,"Male",3,"Retail","Small",1988,24.549,0
46,22898,12,12,1,1,1,1,8,1,4,42,92343,0.92343,0,,202,4,"Wholesale","Small",,2,"Female",1,"Wholesale","Small",1996,11.449,0
55,4344,12,12,,5,,1,8,0,,,102062,1.02062,0,,203,1,"Wholesale","Large",,2,"Female",2,"Retail","Large",1996,2.172,2
53,33991,13,13,1,1,5,1,8,1,5,1000,96546,0.96546,1.5e-7,,205,7,"Wholesale","Large",,1,"Male",4,"Wholesale","Large",1985,16.9955,0
52,15531,12,12,6,1,8,1,8,1,5,10,97461,0.97461,0,,206,2,"Retail","Large",,2,"Female",4,"Retail","Large",1996,7.7655,1
29,25407,12,12,1,6,1,1,8,1,5,42,103958,1.03958,1.5e-7,,207,6,"Retail","Small",,1,"Male",7,"Wholesale","Small",1996,12.7035,3
54,58700,12,12,,1,,1,8,0,,10,96546,0.96546,2.8e-7,,209,5,"Wholesale","Large",,1,"Male",4,"Retail","Large",1996,29.35,1
52,23200,12,12,4,1,1,1,8,1,4,16,97461,0.97461,0,,210,4,"Retail","Large",,2,"Female",3,"Wholesale","Large",1996,11.6,0
32,56015,12,12,1,1,9,1,8,1,2,1000,88154,0.88154,1.5e-7,,211,5,"Retail","Small",,1,"Male",6,"Wholesale","Small",1996,28.0075,3
29,15,12,12,,1,,1,8,0,,,80606,0.80606,0,,212,3,"Wholesale","Small",,2,"Female",3,"Wholesale","Small",1996,0.0075,0
30,21349,13,13,1,1,4,1,8,1,2,16,88154,0.88154,1.5e-7,,216,4,"Wholesale","Small",,1,"Male",4,"Wholesale","Small",1985,10.6745,1
34,5529,14,14,1,1,4,1,8,1,2,10,87454,0.87454,0,,217,4,"Wholesale","Small",,2,"Female",4,"Wholesale","Small",1986,2.7645,1
30,41003,12,12,1,1,11,1,8,1,2,1000,88154,0.88154,1.5e-7,,219,,,"Small",,1,"Male",7,"Retail","Small",1996,20.5015,0
27,3803,14,14,1,1,8,1,8,1,2,16,80606,0.80606,0,,220,5,"Retail","Small",,2,"Female",2,"Wholesale","Small",1986,1.9015,0
41,30629,12,12,1,1,1,1,8,1,2,42,94186,0.94186,1.5e-7,,222,4,"Retail","Small",,1,"Male",4,"Retail","Small",1996,15.3145,1
40,17568,12,12,1,1,5,1,8,1,2,300,88751,0.88751,0,,223,1,"Wholesale","Small",,2,"Female",3,"Wholesale","Small",1996,8.784,3
44,38627,13,13,1,1,11,1,8,1,2,1000,94186,0.94186,1.5e-7,,226,,,"Small",,1,"Male",6,"Retail","Small",1985,19.3135,1
35,4516,14,14,,1,,1,8,0,,1000,90304,0.90304,0,,227,4,"Wholesale","Small",,2,"Female",5,"Wholesale","Small",1986,2.258,3
35,51025,13,13,6,1,11,1,8,1,2,10,89040,0.8904,1.5e-7,,231,,,"Small",,1,"Male",4,"Retail","Small",1985,25.5125,0
35,25,12,12,,1,,1,8,0,,,90304,0.90304,0,,232,1,"Wholesale","Small",,2,"Female",3,"Wholesale","Small",1996,0.0125,2
44,40000,12,12,1,1,5,1,8,1,2,750,104789,1.04789,1.5e-7,,235,4,"Wholesale","Small",,1,"Male",6,"Wholesale","Small",1996,20,0
38,0,12,12,,1,,1,8,0,,,102696,1.02696,0,,236,3,"Wholesale","Small",,2,"Female",1,"Retail","Small",1996,0,2
34,85576,15,14,1,5,1,,7,1,2,42,71205,0.71205,2.8e-7,,237,,,"Small",,1,"Male",7,"Wholesale","Small",1986,42.788,0
43,23500,14,14,6,5,9,1,8,1,2,10,86074,0.86074,1.5e-7,,241,5,"Retail","Small",,1,"Male",3,"Retail","Small",1986,11.75,1
60,31154,12,12,1,1,9,1,8,1,2,300,98205,0.98205,1.5e-7,,242,5,"Retail","Large",,1,"Male",4,"Wholesale","Large",1996,15.577,2
60,5112,12,12,6,1,4,1,8,1,2,1000,87457,0.87457,0,,243,5,"Wholesale","Large",,2,"Female",2,"Retail","Large",1996,2.556,0
83,14303,12,12,,4,,1,8,0,,,227386,2.27386,1.5e-7,,244,1,"Wholesale","Large",,2,"Female",4,"Wholesale","Large",1996,7.1515,2
79,9650,7,8,,4,,1,8,0,,,102597,1.02597,0,,245,4,"Wholesale","Large",,2,"Female",4,"Retail","Large",1992,4.825,2
30,41380,16,16,1,5,2,1,8,1,4,42,101790,1.0179,2.8e-7,,246,2,"Wholesale","Small",,2,"Female",4,"Retail","Small",1988,20.69,2
43,28061,13,13,1,5,2,1,8,1,4,300,104789,1.04789,1.5e-7,,247,3,"Wholesale","Small",,1,"Male",3,"Wholesale","Small",1985,14.0305,1
43,24014,12,12,1,1,11,1,8,1,2,1000,104789,1.04789,1.5e-7,,248,,,"Small",,1,"Male",7,"Wholesale","Small",1996,12.007,1
42,10014,13,13,4,1,5,1,8,1,2,300,95490,0.9549,0,,249,4,"Retail","Small",,2,"Female",1,"Wholesale","Small",1985,5.007,2
